Unnamed: 0,year,region,installed,technology,year,agent,emission_costs,category,sector
243,2040,R1,2040,gasboiler,2040,A1,0,retrofit,residential
244,2025,R1,2025,gasboiler,2025,A2,0,retrofit,residential
245,2045,R1,2035,gasboiler,2045,A3,0,retrofit,residential
246,2045,R1,2040,gasboiler,2045,A3,0,retrofit,residential
247,2035,R1,2035,gassupply1,2035,A1,0,retrofit,gas
248,2060,R1,2040,gassupply1,2060,A1,0,newcapa,gas
249,2050,R1,2035,gasboiler,2050,A3,0,newcapa,residential
250,2025,R1,2025,gasboiler,2025,A2,0,retrofit,residential
251,2040,R1,2030,heatpump,2040,A1,0,retrofit,residential
252,2055,R1,2055,gasboiler,2055,A3,0,retrofit,residential
253,2025,R1,2025,gasboiler,2025,A3,0,retrofit,residential
254,2060,R1,2045,gasboiler,2060,A2,0,newcapa,residential
255,2040,R1,2035,gasboiler,2040,A1,0,retrofit,residential
256,2055,R1,2045,gasboiler,2055,A1,0,newcapa,residential
257,2060,R1,2025,gasCCGT,2060,A1,0,newcapa,power
258,2045,R1,2035,gasboiler,2045,A1,0,retrofit,residential
259,2050,R1,2050,gassupply2,2050,A1,0,retrofit,gas
260,2060,R1,2060,gassupply2,2060,A1,0,retrofit,gas
261,2060,R1,2035,gasboiler,2060,A1,0,newcapa,residential
262,2055,R1,2030,windturbine,2055,A1,0,retrofit,power
263,2050,R1,2025,windturbine,2050,A1,0,newcapa,power
264,2035,R1,2030,heatpump,2035,A1,0,retrofit,residential
265,2055,R1,2035,gasboiler,2055,A3,0,newcapa,residential
266,2030,R1,2025,windturbine,2030,A1,0,newcapa,power
267,2055,R1,2030,windturbine,2055,A1,0,retrofit,power
268,2030,R1,2030,heatpump,2030,A1,0,newcapa,residential
269,2050,R1,2050,gassupply2,2050,A1,0,retrofit,gas
270,2025,R1,2025,gasboiler,2025,A3,0,newcapa,residential
271,2045,R1,2045,gassupply1,2045,A1,0,retrofit,gas
272,2060,R1,2050,gassupply2,2060,A1,0,retrofit,gas
273,2055,R1,2055,gasboiler,2055,A3,0,retrofit,residential
274,2045,R1,2045,gasboiler,2045,A1,0,newcapa,residential
275,2050,R1,2040,gasboiler,2050,A2,0,newcapa,residential
276,2055,R1,2030,windturbine,2055,A1,0,newcapa,power
277,2050,R1,2025,gasboiler,2050,A1,0,retrofit,residential
278,2055,R1,2050,gasboiler,2055,A2,0,retrofit,residential
279,2055,R1,2040,gasboiler,2055,A2,0,newcapa,residential
280,2055,R1,2045,gasboiler,2055,A1,0,retrofit,residential
281,2030,R1,2030,gasboiler,2030,A3,0,newcapa,residential
282,2060,R1,2050,gasboiler,2060,A3,0,newcapa,residential
283,2030,R1,2025,gassupply1,2030,A1,0,retrofit,gas
284,2050,R1,2025,gasboiler,2050,A2,0,newcapa,residential
285,2055,R1,2025,gasboiler,2055,A2,0,retrofit,residential
286,2045,R1,2030,windturbine,2045,A1,0,retrofit,power
287,2035,R1,2025,gasboiler,2035,A3,0,retrofit,residential
288,2060,R1,2040,gasboiler,2060,A2,0,newcapa,residential
289,2035,R1,2025,gasboiler,2035,A2,0,retrofit,residential
290,2040,R1,2035,gasboiler,2040,A3,0,retrofit,residential
291,2055,R1,2025,gasboiler,2055,A1,0,newcapa,residential
292,2045,R1,2045,gasboiler,2045,A2,0,retrofit,residential
293,2040,R1,2035,gasboiler,2040,A2,0,retrofit,residential
294,2045,R1,2045,gassupply1,2045,A1,0,newcapa,gas
295,2050,R1,2045,gasboiler,2050,A2,0,newcapa,residential
296,2025,R1,2025,windturbine,2025,A1,0,retrofit,power
297,2060,R1,2030,windturbine,2060,A1,0,newcapa,power
298,2035,R1,2025,gasboiler,2035,A2,0,retrofit,residential
299,2025,R1,2025,gasboiler,2025,A1,0,retrofit,residential
300,2050,R1,2030,windturbine,2050,A1,0,newcapa,power
301,2055,R1,2055,gasboiler,2055,A2,0,retrofit,residential
302,2055,R1,2050,gasboiler,2055,A1,0,newcapa,residential
303,2060,R1,2055,gassupply1,2060,A1,0,retrofit,gas
304,2035,R1,2035,gasboiler,2035,A2,0,newcapa,residential
305,2025,R1,2025,gasCCGT,2025,A1,0,retrofit,power
306,2030,R1,2025,gassupply1,2030,A1,0,retrofit,gas
307,2050,R1,2045,gasboiler,2050,A1,0,newcapa,residential
308,2040,R1,2040,gasboiler,2040,A1,0,retrofit,residential
309,2030,R1,2025,gasboiler,2030,A1,0,retrofit,residential
