Unnamed: 0,year,region,installed,technology,year,agent,emission_costs,category,sector
425,2050,R1,2050,gassupply2,2050,A1,0,retrofit,gas
426,2055,R1,2050,gasboiler,2055,A3,0,retrofit,residential
427,2035,R1,2025,windturbine,2035,A1,0,newcapa,power
428,2025,R1,2025,gasCCGT,2025,A1,0,retrofit,power
429,2060,R1,2055,gassupply1,2060,A1,0,newcapa,gas
430,2040,R1,2025,gasboiler,2040,A1,0,retrofit,residential
431,2025,R1,2025,gasboiler,2025,A3,0,retrofit,residential
432,2030,R1,2025,gasboiler,2030,A2,0,retrofit,residential
433,2050,R1,2045,gasboiler,2050,A2,0,newcapa,residential
434,2030,R1,2030,gassupply1,2030,A1,0,retrofit,gas
435,2045,R1,2025,gasboiler,2045,A1,0,retrofit,residential
436,2060,R1,2055,gasboiler,2060,A2,0,newcapa,residential
437,2035,R1,2025,gasboiler,2035,A1,0,retrofit,residential
438,2050,R1,2040,gasboiler,2050,A2,0,retrofit,residential
439,2060,R1,2055,gasboiler,2060,A2,0,newcapa,residential
440,2060,R1,2045,gassupply1,2060,A1,0,newcapa,gas
441,2055,R1,2025,gasboiler,2055,A3,0,newcapa,residential
442,2040,R1,2030,windturbine,2040,A1,0,newcapa,power
443,2045,R1,2025,gasboiler,2045,A1,0,retrofit,residential
444,2025,R1,2025,gassupply1,2025,A1,0,newcapa,gas
445,2045,R1,2025,gasCCGT,2045,A1,0,retrofit,power
446,2035,R1,2025,gassupply1,2035,A1,0,retrofit,gas
447,2040,R1,2040,gassupply1,2040,A1,0,newcapa,gas
448,2060,R1,2055,gasboiler,2060,A3,0,newcapa,residential
449,2045,R1,2025,gasCCGT,2045,A1,0,newcapa,power
450,2050,R1,2025,gasboiler,2050,A3,0,retrofit,residential
451,2055,R1,2050,gasboiler,2055,A1,0,newcapa,residential
452,2035,R1,2025,gasboiler,2035,A1,0,retrofit,residential
453,2050,R1,2050,gasboiler,2050,A1,0,retrofit,residential
454,2050,R1,2045,gasboiler,2050,A2,0,retrofit,residential
455,2050,R1,2025,windturbine,2050,A1,0,newcapa,power
456,2030,R1,2030,windturbine,2030,A1,0,retrofit,power
457,2050,R1,2025,gasboiler,2050,A1,0,retrofit,residential
458,2060,R1,2025,gasboiler,2060,A1,0,retrofit,residential
459,2060,R1,2060,gasboiler,2060,A2,0,retrofit,residential
460,2055,R1,2045,gassupply1,2055,A1,0,newcapa,gas
461,2045,R1,2030,windturbine,2045,A1,0,retrofit,power
462,2060,R1,2055,gasboiler,2060,A3,0,retrofit,residential
463,2055,R1,2030,windturbine,2055,A1,0,newcapa,power
464,2050,R1,2035,gasboiler,2050,A2,0,newcapa,residential
465,2035,R1,2035,gasboiler,2035,A1,0,newcapa,residential
466,2060,R1,2025,gasboiler,2060,A3,0,newcapa,residential
467,2055,R1,2040,gassupply1,2055,A1,0,newcapa,gas
468,2050,R1,2025,gasboiler,2050,A1,0,newcapa,residential
469,2050,R1,2045,gasboiler,2050,A3,0,retrofit,residential
470,2050,R1,2025,windturbine,2050,A1,0,newcapa,power
471,2035,R1,2035,gasboiler,2035,A1,0,retrofit,residential
472,2045,R1,2045,gasboiler,2045,A3,0,retrofit,residential
473,2040,R1,2025,gasboiler,2040,A3,0,retrofit,residential
474,2060,R1,2055,gassupply1,2060,A1,0,retrofit,gas
475,2035,R1,2035,gasboiler,2035,A2,0,newcapa,residential
476,2045,R1,2025,gasCCGT,2045,A1,0,newcapa,power
477,2040,R1,2030,heatpump,2040,A2,0,retrofit,residential
478,2045,R1,2025,gasboiler,2045,A3,0,retrofit,residential
479,2030,R1,2030,heatpump,2030,A2,0,newcapa,residential
480,2030,R1,2025,windturbine,2030,A1,0,newcapa,power
481,2030,R1,2030,heatpump,2030,A2,0,newcapa,residential
482,2035,R1,2030,gassupply1,2035,A1,0,retrofit,gas
483,2030,R1,2025,gasboiler,2030,A3,0,retrofit,residential
484,2050,R1,2025,gasCCGT,2050,A1,0,newcapa,power
485,2050,R1,2035,gasboiler,2050,A1,0,newcapa,residential
486,2055,R1,2055,gasboiler,2055,A2,0,retrofit,residential
487,2055,R1,2035,gasboiler,2055,A2,0,newcapa,residential
488,2035,R1,2030,heatpump,2035,A2,0,retrofit,residential
489,2025,R1,2025,windturbine,2025,A1,0,retrofit,power
490,2045,R1,2025,gasCCGT,2045,A1,0,newcapa,power
491,2060,R1,2035,gasboiler,2060,A1,0,newcapa,residential
492,2055,R1,2050,gassupply2,2055,A1,0,retrofit,gas
493,2025,R1,2025,gasboiler,2025,A1,0,newcapa,residential
494,2060,R1,2050,gasboiler,2060,A1,0,newcapa,residential
495,2035,R1,2035,gasboiler,2035,A3,0,retrofit,residential
496,2030,R1,2030,heatpump,2030,A1,0,retrofit,residential
497,2030,R1,2030,gasboiler,2030,A3,0,newcapa,residential
498,2055,R1,2050,gasboiler,2055,A1,0,retrofit,residential
499,2060,R1,2035,gassupply1,2060,A1,0,newcapa,gas
500,2025,R1,2025,gasboiler,2025,A3,0,newcapa,residential
501,2060,R1,2050,gasboiler,2060,A2,0,newcapa,residential
502,2055,R1,2025,gasCCGT,2055,A1,0,retrofit,power
503,2055,R1,2050,gassupply1,2055,A1,0,newcapa,gas
504,2030,R1,2030,windturbine,2030,A1,0,retrofit,power
505,2030,R1,2025,gassupply1,2030,A1,0,newcapa,gas
506,2045,R1,2040,gasboiler,2045,A1,0,retrofit,residential
507,2060,R1,2060,gassupply2,2060,A1,0,retrofit,gas
508,2040,R1,2035,gasboiler,2040,A2,0,retrofit,residential
509,2050,R1,2030,windturbine,2050,A1,0,newcapa,power
510,2040,R1,2025,windturbine,2040,A1,0,newcapa,power
511,2045,R1,2030,windturbine,2045,A1,0,newcapa,power
512,2060,R1,2060,gasboiler,2060,A2,0,retrofit,residential
513,2040,R1,2025,windturbine,2040,A1,0,retrofit,power
514,2060,R1,2060,gassupply1,2060,A1,0,retrofit,gas
515,2040,R1,2040,gasboiler,2040,A3,0,retrofit,residential
516,2040,R1,2040,gasboiler,2040,A1,0,retrofit,residential
517,2060,R1,2050,gasboiler,2060,A3,0,retrofit,residential
518,2040,R1,2030,heatpump,2040,A1,0,retrofit,residential
519,2040,R1,2035,gasboiler,2040,A1,0,retrofit,residential
520,2045,R1,2035,gasboiler,2045,A2,0,retrofit,residential
521,2050,R1,2040,gassupply1,2050,A1,0,retrofit,gas
522,2055,R1,2025,gasboiler,2055,A1,0,newcapa,residential
523,2060,R1,2055,gasboiler,2060,A3,0,newcapa,residential
524,2030,R1,2025,gasboiler,2030,A1,0,retrofit,residential
525,2050,R1,2040,gassupply1,2050,A1,0,retrofit,gas
526,2060,R1,2025,gasboiler,2060,A2,0,newcapa,residential
527,2055,R1,2050,gasboiler,2055,A3,0,retrofit,residential
528,2050,R1,2035,gasboiler,2050,A3,0,newcapa,residential
529,2050,R1,2040,gasboiler,2050,A2,0,retrofit,residential
530,2035,R1,2030,gasboiler,2035,A3,0,retrofit,residential
531,2060,R1,2035,gasboiler,2060,A2,0,newcapa,residential
532,2055,R1,2040,gasboiler,2055,A3,0,newcapa,residential
533,2060,R1,2055,gasboiler,2060,A1,0,retrofit,residential
534,2025,R1,2025,gasboiler,2025,A1,0,retrofit,residential
535,2055,R1,2025,gasboiler,2055,A2,0,newcapa,residential
536,2060,R1,2035,gasboiler,2060,A3,0,newcapa,residential
537,2025,R1,2025,windturbine,2025,A1,0,retrofit,power
538,2060,R1,2050,gasboiler,2060,A2,0,newcapa,residential
539,2035,R1,2035,gassupply1,2035,A1,0,newcapa,gas
540,2050,R1,2045,gassupply1,2050,A1,0,newcapa,gas
541,2060,R1,2050,gassupply1,2060,A1,0,retrofit,gas
542,2060,R1,2025,windturbine,2060,A1,0,newcapa,power
543,2060,R1,2050,gasboiler,2060,A3,0,newcapa,residential
544,2050,R1,2050,gassupply1,2050,A1,0,retrofit,gas
545,2050,R1,2025,windturbine,2050,A1,0,newcapa,power
546,2040,R1,2030,heatpump,2040,A2,0,retrofit,residential
547,2060,R1,2050,gasboiler,2060,A2,0,retrofit,residential
548,2045,R1,2045,gasboiler,2045,A3,0,retrofit,residential
549,2050,R1,2040,gassupply1,2050,A1,0,retrofit,gas
550,2055,R1,2040,gasboiler,2055,A1,0,newcapa,residential
551,2035,R1,2035,gassupply1,2035,A1,0,retrofit,gas
552,2055,R1,2025,gasboiler,2055,A3,0,retrofit,residential
553,2030,R1,2025,gasboiler,2030,A2,0,retrofit,residential
554,2055,R1,2040,gassupply1,2055,A1,0,newcapa,gas
555,2035,R1,2035,gasboiler,2035,A3,0,newcapa,residential
556,2055,R1,2050,gassupply1,2055,A1,0,newcapa,gas
557,2050,R1,2040,gasboiler,2050,A2,0,retrofit,residential
558,2060,R1,2050,gasboiler,2060,A2,0,newcapa,residential
559,2025,R1,2025,gasboiler,2025,A2,0,newcapa,residential
560,2055,R1,2035,gassupply1,2055,A1,0,newcapa,gas
561,2050,R1,2025,gasboiler,2050,A2,0,retrofit,residential
562,2025,R1,2025,gassupply1,2025,A1,0,retrofit,gas
563,2060,R1,2035,gasboiler,2060,A2,0,newcapa,residential
564,2060,R1,2025,gasCCGT,2060,A1,0,retrofit,power
565,2040,R1,2030,windturbine,2040,A1,0,newcapa,power
566,2045,R1,2040,gasboiler,2045,A2,0,retrofit,residential
567,2055,R1,2045,gasboiler,2055,A3,0,retrofit,residential
568,2060,R1,2060,gasboiler,2060,A2,0,retrofit,residential
569,2045,R1,2025,windturbine,2045,A1,0,newcapa,power
570,2030,R1,2025,gasboiler,2030,A2,0,retrofit,residential
571,2045,R1,2025,gasboiler,2045,A2,0,retrofit,residential
572,2055,R1,2025,gasboiler,2055,A3,0,newcapa,residential
573,2045,R1,2045,gasboiler,2045,A2,0,retrofit,residential
574,2045,R1,2045,gasboiler,2045,A3,0,newcapa,residential
575,2055,R1,2050,gasboiler,2055,A3,0,retrofit,residential
576,2055,R1,2045,gasboiler,2055,A1,0,newcapa,residential
577,2050,R1,2035,gasboiler,2050,A3,0,newcapa,residential
578,2030,R1,2025,gasboiler,2030,A2,0,retrofit,residential
579,2060,R1,2050,gasboiler,2060,A2,0,newcapa,residential
580,2055,R1,2045,gasboiler,2055,A2,0,newcapa,residential
581,2030,R1,2025,gassupply1,2030,A1,0,retrofit,gas
582,2060,R1,2050,gassupply1,2060,A1,0,retrofit,gas
583,2040,R1,2040,gasboiler,2040,A3,0,newcapa,residential
584,2055,R1,2025,gasboiler,2055,A3,0,newcapa,residential
585,2060,R1,2045,gasboiler,2060,A1,0,newcapa,residential
586,2030,R1,2030,gasboiler,2030,A3,0,newcapa,residential
587,2055,R1,2045,gassupply1,2055,A1,0,newcapa,gas
588,2055,R1,2045,gassupply1,2055,A1,0,newcapa,gas
589,2055,R1,2055,gasboiler,2055,A3,0,retrofit,residential
590,2060,R1,2025,gasboiler,2060,A1,0,retrofit,residential
591,2050,R1,2025,gasboiler,2050,A2,0,retrofit,residential
592,2060,R1,2045,gasboiler,2060,A1,0,newcapa,residential
593,2025,R1,2025,heatpump,2025,A1,0,retrofit,residential
594,2060,R1,2055,gasboiler,2060,A2,0,newcapa,residential
595,2025,R1,2025,windturbine,2025,A1,0,newcapa,power
596,2060,R1,2060,gasboiler,2060,A3,0,retrofit,residential
597,2060,R1,2055,gasboiler,2060,A2,0,retrofit,residential
598,2030,R1,2030,gasboiler,2030,A3,0,retrofit,residential
599,2040,R1,2040,gasboiler,2040,A3,0,newcapa,residential
600,2055,R1,2035,gassupply1,2055,A1,0,newcapa,gas
601,2040,R1,2025,gasboiler,2040,A2,0,retrofit,residential
602,2055,R1,2045,gassupply1,2055,A1,0,newcapa,gas
603,2055,R1,2040,gasboiler,2055,A1,0,newcapa,residential
604,2045,R1,2035,gasboiler,2045,A2,0,retrofit,residential
605,2050,R1,2035,gasboiler,2050,A2,0,newcapa,residential
606,2055,R1,2055,gasboiler,2055,A1,0,retrofit,residential
607,2055,R1,2045,gassupply1,2055,A1,0,retrofit,gas
608,2050,R1,2045,gasboiler,2050,A3,0,retrofit,residential
609,2055,R1,2045,gasboiler,2055,A3,0,newcapa,residential
610,2045,R1,2025,gasboiler,2045,A1,0,retrofit,residential
611,2030,R1,2030,heatpump,2030,A2,0,retrofit,residential
612,2030,R1,2025,windturbine,2030,A1,0,retrofit,power
613,2045,R1,2035,gassupply1,2045,A1,0,retrofit,gas
614,2050,R1,2035,gasboiler,2050,A2,0,newcapa,residential
615,2045,R1,2025,windturbine,2045,A1,0,retrofit,power
616,2040,R1,2030,gassupply1,2040,A1,0,retrofit,gas
617,2025,R1,2025,gasCCGT,2025,A1,0,newcapa,power
618,2050,R1,2050,gasboiler,2050,A1,0,retrofit,residential
619,2035,R1,2035,gassupply1,2035,A1,0,newcapa,gas
620,2030,R1,2025,windturbine,2030,A1,0,retrofit,power
621,2060,R1,2060,gassupply1,2060,A1,0,retrofit,gas
622,2040,R1,2040,gasboiler,2040,A2,0,retrofit,residential
623,2055,R1,2045,gasboiler,2055,A2,0,retrofit,residential
624,2030,R1,2025,windturbine,2030,A1,0,retrofit,power
625,2030,R1,2025,gassupply1,2030,A1,0,newcapa,gas
626,2055,R1,2045,gasboiler,2055,A1,0,newcapa,residential
627,2035,R1,2035,gasboiler,2035,A1,0,retrofit,residential
628,2030,R1,2025,gasboiler,2030,A3,0,retrofit,residential
629,2035,R1,2030,windturbine,2035,A1,0,newcapa,power
630,2055,R1,2035,gasboiler,2055,A3,0,newcapa,residential
631,2055,R1,2050,gasboiler,2055,A3,0,newcapa,residential
632,2045,R1,2035,gasboiler,2045,A2,0,retrofit,residential
633,2060,R1,2060,gasboiler,2060,A1,0,retrofit,residential
634,2050,R1,2040,gasboiler,2050,A3,0,newcapa,residential
635,2060,R1,2045,gasboiler,2060,A3,0,newcapa,residential
636,2030,R1,2025,heatpump,2030,A1,0,retrofit,residential
637,2045,R1,2025,windturbine,2045,A1,0,retrofit,power
638,2045,R1,2035,gasboiler,2045,A3,0,retrofit,residential
639,2060,R1,2045,gasboiler,2060,A1,0,newcapa,residential
640,2060,R1,2050,gassupply2,2060,A1,0,newcapa,gas
641,2040,R1,2025,gasCCGT,2040,A1,0,newcapa,power
642,2040,R1,2025,gasCCGT,2040,A1,0,newcapa,power
643,2035,R1,2030,heatpump,2035,A2,0,retrofit,residential
644,2050,R1,2045,gasboiler,2050,A1,0,retrofit,residential
645,2040,R1,2035,gassupply1,2040,A1,0,retrofit,gas
646,2060,R1,2035,gasboiler,2060,A3,0,newcapa,residential
647,2055,R1,2040,gasboiler,2055,A3,0,newcapa,residential
648,2030,R1,2030,gasboiler,2030,A3,0,retrofit,residential
649,2060,R1,2055,gasboiler,2060,A2,0,retrofit,residential
650,2055,R1,2050,gassupply2,2055,A1,0,retrofit,gas
651,2040,R1,2025,gasboiler,2040,A3,0,retrofit,residential
652,2055,R1,2040,gasboiler,2055,A2,0,newcapa,residential
653,2045,R1,2025,gasboiler,2045,A2,0,retrofit,residential
654,2035,R1,2025,gasboiler,2035,A1,0,retrofit,residential
655,2040,R1,2040,gassupply1,2040,A1,0,newcapa,gas
656,2035,R1,2030,heatpump,2035,A2,0,retrofit,residential
657,2045,R1,2035,gasboiler,2045,A2,0,retrofit,residential
658,2060,R1,2040,gasboiler,2060,A1,0,newcapa,residential
659,2045,R1,2025,gasboiler,2045,A2,0,retrofit,residential
660,2035,R1,2035,gasboiler,2035,A3,0,retrofit,residential
661,2055,R1,2035,gasboiler,2055,A3,0,newcapa,residential
662,2060,R1,2050,gassupply1,2060,A1,0,newcapa,gas
663,2025,R1,2025,windturbine,2025,A1,0,newcapa,power
664,2055,R1,2025,gasboiler,2055,A2,0,retrofit,residential
665,2050,R1,2025,windturbine,2050,A1,0,retrofit,power
666,2030,R1,2025,gasboiler,2030,A3,0,retrofit,residential
667,2030,R1,2025,gassupply1,2030,A1,0,newcapa,gas
668,2035,R1,2030,gassupply1,2035,A1,0,retrofit,gas
669,2030,R1,2025,gasboiler,2030,A2,0,retrofit,residential
670,2030,R1,2030,windturbine,2030,A1,0,retrofit,power
671,2055,R1,2040,gasboiler,2055,A3,0,newcapa,residential
672,2050,R1,2040,gasboiler,2050,A2,0,newcapa,residential
673,2055,R1,2030,windturbine,2055,A1,0,retrofit,power
674,2040,R1,2040,gasboiler,2040,A1,0,newcapa,residential
675,2050,R1,2045,gasboiler,2050,A3,0,newcapa,residential
676,2035,R1,2025,windturbine,2035,A1,0,retrofit,power
677,2060,R1,2035,gasboiler,2060,A1,0,newcapa,residential
678,2050,R1,2025,gasboiler,2050,A1,0,newcapa,residential
679,2025,R1,2025,gasboiler,2025,A2,0,newcapa,residential
680,2025,R1,2025,gasboiler,2025,A1,0,retrofit,residential
681,2040,R1,2025,windturbine,2040,A1,0,newcapa,power
682,2025,R1,2025,gasboiler,2025,A2,0,newcapa,residential
683,2060,R1,2060,gasboiler,2060,A1,0,retrofit,residential
684,2040,R1,2025,windturbine,2040,A1,0,newcapa,power
685,2050,R1,2030,windturbine,2050,A1,0,newcapa,power
686,2055,R1,2055,gasboiler,2055,A2,0,retrofit,residential
687,2060,R1,2035,gasboiler,2060,A2,0,newcapa,residential
688,2060,R1,2025,windturbine,2060,A1,0,newcapa,power
689,2060,R1,2035,gasboiler,2060,A2,0,newcapa,residential
690,2055,R1,2025,gasboiler,2055,A3,0,retrofit,residential
691,2060,R1,2050,gasboiler,2060,A2,0,retrofit,residential
692,2025,R1,2025,gasCCGT,2025,A1,0,newcapa,power
693,2050,R1,2040,gassupply1,2050,A1,0,newcapa,gas
694,2050,R1,2040,gasboiler,2050,A1,0,retrofit,residential
695,2060,R1,2055,gassupply1,2060,A1,0,retrofit,gas
696,2040,R1,2025,gasCCGT,2040,A1,0,newcapa,power
697,2060,R1,2025,gasboiler,2060,A2,0,newcapa,residential
698,2040,R1,2035,gasboiler,2040,A3,0,retrofit,residential
699,2025,R1,2025,gasboiler,2025,A1,0,retrofit,residential
700,2035,R1,2035,gasboiler,2035,A3,0,newcapa,residential
701,2030,R1,2025,gasboiler,2030,A1,0,retrofit,residential
702,2035,R1,2025,gasboiler,2035,A1,0,retrofit,residential
703,2055,R1,2025,gasCCGT,2055,A1,0,newcapa,power
704,2025,R1,2025,gasboiler,2025,A3,0,retrofit,residential
705,2040,R1,2025,gasboiler,2040,A1,0,retrofit,residential
706,2050,R1,2040,gasboiler,2050,A1,0,retrofit,residential
707,2050,R1,2045,gasboiler,2050,A1,0,retrofit,residential
708,2055,R1,2050,gasboiler,2055,A3,0,newcapa,residential
709,2060,R1,2045,gassupply1,2060,A1,0,newcapa,gas
710,2045,R1,2035,gassupply1,2045,A1,0,retrofit,gas
711,2055,R1,2045,gasboiler,2055,A1,0,retrofit,residential
712,2060,R1,2055,gassupply1,2060,A1,0,newcapa,gas
713,2050,R1,2025,gasCCGT,2050,A1,0,retrofit,power
714,2040,R1,2040,gasboiler,2040,A2,0,retrofit,residential
715,2060,R1,2025,gasboiler,2060,A3,0,retrofit,residential
716,2030,R1,2025,gasboiler,2030,A1,0,retrofit,residential
717,2040,R1,2035,gasboiler,2040,A3,0,retrofit,residential
718,2060,R1,2050,gassupply2,2060,A1,0,retrofit,gas
719,2060,R1,2055,gasboiler,2060,A1,0,newcapa,residential
720,2050,R1,2040,gasboiler,2050,A1,0,retrofit,residential
721,2050,R1,2040,gasboiler,2050,A1,0,retrofit,residential
722,2035,R1,2025,gasCCGT,2035,A1,0,newcapa,power
723,2040,R1,2030,heatpump,2040,A1,0,retrofit,residential
724,2025,R1,2025,windturbine,2025,A1,0,newcapa,power
725,2060,R1,2050,gassupply1,2060,A1,0,newcapa,gas
726,2030,R1,2025,gassupply1,2030,A1,0,newcapa,gas
727,2060,R1,2045,gasboiler,2060,A1,0,newcapa,residential
728,2050,R1,2030,windturbine,2050,A1,0,newcapa,power
729,2055,R1,2050,gasboiler,2055,A1,0,retrofit,residential
730,2050,R1,2040,gasboiler,2050,A3,0,newcapa,residential
731,2025,R1,2025,gasboiler,2025,A3,0,newcapa,residential
732,2025,R1,2025,gassupply1,2025,A1,0,retrofit,gas
733,2055,R1,2025,gasCCGT,2055,A1,0,retrofit,power
734,2060,R1,2025,windturbine,2060,A1,0,newcapa,power
735,2060,R1,2055,gasboiler,2060,A3,0,newcapa,residential
736,2030,R1,2030,heatpump,2030,A1,0,newcapa,residential
737,2060,R1,2040,gasboiler,2060,A3,0,newcapa,residential
738,2060,R1,2060,gasboiler,2060,A3,0,retrofit,residential
739,2050,R1,2025,windturbine,2050,A1,0,newcapa,power
740,2060,R1,2045,gasboiler,2060,A3,0,newcapa,residential
741,2055,R1,2055,gasboiler,2055,A2,0,retrofit,residential
742,2055,R1,2045,gasboiler,2055,A3,0,newcapa,residential
743,2035,R1,2035,gasboiler,2035,A2,0,newcapa,residential
744,2055,R1,2055,gassupply1,2055,A1,0,retrofit,gas
745,2055,R1,2055,gassupply1,2055,A1,0,retrofit,gas
746,2050,R1,2040,gasboiler,2050,A3,0,retrofit,residential
747,2035,R1,2025,windturbine,2035,A1,0,newcapa,power
748,2030,R1,2025,windturbine,2030,A1,0,newcapa,power
749,2060,R1,2040,gasboiler,2060,A3,0,newcapa,residential
750,2025,R1,2025,gassupply1,2025,A1,0,newcapa,gas
751,2050,R1,2025,windturbine,2050,A1,0,retrofit,power
752,2060,R1,2060,gasboiler,2060,A1,0,retrofit,residential
753,2040,R1,2035,gasboiler,2040,A1,0,retrofit,residential
754,2030,R1,2030,heatpump,2030,A2,0,retrofit,residential
755,2040,R1,2040,gasboiler,2040,A3,0,newcapa,residential
756,2060,R1,2050,gassupply2,2060,A1,0,newcapa,gas
757,2025,R1,2025,gasboiler,2025,A1,0,newcapa,residential
758,2025,R1,2025,windturbine,2025,A1,0,retrofit,power
759,2060,R1,2035,gasboiler,2060,A3,0,newcapa,residential
760,2025,R1,2025,windturbine,2025,A1,0,retrofit,power
761,2060,R1,2040,gasboiler,2060,A2,0,newcapa,residential
762,2055,R1,2035,gasboiler,2055,A3,0,newcapa,residential
763,2055,R1,2055,gasboiler,2055,A3,0,retrofit,residential
764,2055,R1,2035,gassupply1,2055,A1,0,newcapa,gas
765,2035,R1,2025,gasboiler,2035,A1,0,retrofit,residential
766,2030,R1,2030,heatpump,2030,A2,0,newcapa,residential
767,2055,R1,2025,gasboiler,2055,A2,0,newcapa,residential
768,2050,R1,2025,gasboiler,2050,A1,0,newcapa,residential
769,2045,R1,2045,gasboiler,2045,A3,0,newcapa,residential
770,2055,R1,2025,gasCCGT,2055,A1,0,retrofit,power
771,2030,R1,2025,gasboiler,2030,A3,0,retrofit,residential
772,2050,R1,2025,gasboiler,2050,A1,0,newcapa,residential
773,2030,R1,2025,gasboiler,2030,A3,0,retrofit,residential
774,2035,R1,2025,gasboiler,2035,A3,0,retrofit,residential
775,2025,R1,2025,gassupply1,2025,A1,0,newcapa,gas
776,2060,R1,2055,gasboiler,2060,A1,0,newcapa,residential
777,2045,R1,2045,gasboiler,2045,A3,0,retrofit,residential
778,2040,R1,2040,gasboiler,2040,A2,0,newcapa,residential
779,2040,R1,2040,gasboiler,2040,A2,0,newcapa,residential
780,2040,R1,2025,gasboiler,2040,A1,0,retrofit,residential
781,2040,R1,2035,gasboiler,2040,A2,0,retrofit,residential
782,2060,R1,2060,gassupply2,2060,A1,0,retrofit,gas
783,2060,R1,2025,gasboiler,2060,A1,0,newcapa,residential
784,2055,R1,2040,gasboiler,2055,A1,0,newcapa,residential
785,2035,R1,2025,windturbine,2035,A1,0,retrofit,power
786,2035,R1,2030,gasboiler,2035,A3,0,retrofit,residential
787,2025,R1,2025,gasboiler,2025,A3,0,retrofit,residential
788,2060,R1,2045,gasboiler,2060,A1,0,newcapa,residential
789,2030,R1,2025,gasCCGT,2030,A1,0,retrofit,power
790,2045,R1,2035,gassupply1,2045,A1,0,retrofit,gas
791,2035,R1,2035,gasboiler,2035,A3,0,retrofit,residential
792,2060,R1,2055,gasboiler,2060,A2,0,retrofit,residential
793,2045,R1,2045,gassupply1,2045,A1,0,retrofit,gas
794,2060,R1,2025,gasboiler,2060,A1,0,newcapa,residential
795,2050,R1,2045,gasboiler,2050,A2,0,retrofit,residential
796,2040,R1,2040,gassupply1,2040,A1,0,retrofit,gas
797,2030,R1,2025,windturbine,2030,A1,0,newcapa,power
798,2030,R1,2030,heatpump,2030,A1,0,retrofit,residential
799,2055,R1,2045,gasboiler,2055,A2,0,retrofit,residential
800,2055,R1,2025,gasCCGT,2055,A1,0,retrofit,power
801,2050,R1,2035,gasboiler,2050,A3,0,newcapa,residential
802,2040,R1,2030,windturbine,2040,A1,0,retrofit,power
803,2055,R1,2045,gasboiler,2055,A2,0,newcapa,residential
804,2060,R1,2035,gasboiler,2060,A2,0,newcapa,residential
805,2060,R1,2050,gassupply1,2060,A1,0,retrofit,gas
806,2045,R1,2030,windturbine,2045,A1,0,retrofit,power
807,2040,R1,2025,windturbine,2040,A1,0,retrofit,power
808,2035,R1,2035,gasboiler,2035,A3,0,newcapa,residential
809,2040,R1,2030,windturbine,2040,A1,0,retrofit,power
810,2045,R1,2045,gassupply1,2045,A1,0,newcapa,gas
811,2055,R1,2025,gasboiler,2055,A2,0,newcapa,residential
812,2055,R1,2025,gasboiler,2055,A1,0,retrofit,residential
813,2050,R1,2050,gasboiler,2050,A1,0,retrofit,residential
814,2035,R1,2025,gasboiler,2035,A3,0,retrofit,residential
815,2045,R1,2045,gasboiler,2045,A3,0,newcapa,residential
816,2060,R1,2055,gasboiler,2060,A1,0,retrofit,residential
817,2050,R1,2045,gassupply1,2050,A1,0,retrofit,gas
818,2060,R1,2045,gasboiler,2060,A2,0,newcapa,residential
819,2060,R1,2035,gasboiler,2060,A3,0,newcapa,residential
820,2040,R1,2035,gassupply1,2040,A1,0,retrofit,gas
821,2035,R1,2025,gasboiler,2035,A2,0,retrofit,residential
822,2035,R1,2025,gasboiler,2035,A1,0,retrofit,residential
823,2025,R1,2025,gasCCGT,2025,A1,0,newcapa,power
824,2045,R1,2040,gasboiler,2045,A1,0,retrofit,residential
825,2025,R1,2025,windturbine,2025,A1,0,retrofit,power
826,2045,R1,2025,windturbine,2045,A1,0,retrofit,power
827,2055,R1,2045,gasboiler,2055,A2,0,retrofit,residential
828,2035,R1,2025,gasboiler,2035,A3,0,retrofit,residential
829,2030,R1,2025,gassupply1,2030,A1,0,newcapa,gas
830,2050,R1,2030,windturbine,2050,A1,0,retrofit,power
831,2050,R1,2030,windturbine,2050,A1,0,retrofit,power
832,2045,R1,2045,gasboiler,2045,A1,0,retrofit,residential
833,2035,R1,2025,gasboiler,2035,A2,0,retrofit,residential
834,2050,R1,2045,gassupply1,2050,A1,0,newcapa,gas
835,2050,R1,2025,windturbine,2050,A1,0,retrofit,power
836,2035,R1,2025,windturbine,2035,A1,0,retrofit,power
837,2060,R1,2025,gasCCGT,2060,A1,0,retrofit,power
838,2030,R1,2025,windturbine,2030,A1,0,retrofit,power
839,2060,R1,2025,gasboiler,2060,A3,0,newcapa,residential
840,2045,R1,2040,gassupply1,2045,A1,0,retrofit,gas
841,2025,R1,2025,heatpump,2025,A1,0,retrofit,residential
842,2040,R1,2025,windturbine,2040,A1,0,newcapa,power
843,2040,R1,2040,gasboiler,2040,A3,0,newcapa,residential
844,2045,R1,2035,gasboiler,2045,A3,0,retrofit,residential
845,2025,R1,2025,gasboiler,2025,A3,0,newcapa,residential
846,2060,R1,2025,gasboiler,2060,A3,0,newcapa,residential
847,2035,R1,2035,gasboiler,2035,A1,0,retrofit,residential
848,2030,R1,2030,heatpump,2030,A1,0,retrofit,residential
849,2050,R1,2035,gassupply1,2050,A1,0,newcapa,gas
850,2035,R1,2025,gasboiler,2035,A2,0,retrofit,residential
851,2045,R1,2030,windturbine,2045,A1,0,retrofit,power
