,year,region,technology,agent,category,sector,EAC
350,2025,R1,gasCCGT,A1,retrofit,power,665.746.024.341
351,2060,R1,gasCCGT,A1,retrofit,power,0
352,2025,R1,heatpump,A1,retrofit,residential,1.006.084.372.151
353,2045,R1,gasboiler,A2,retrofit,residential,837.047.784.604
354,2060,R1,gasboiler,A2,retrofit,residential,579.701.582.403
355,2060,R1,gassupply2,A1,retrofit,gas,2.310.557.511.833
356,2025,R1,heatpump,A3,retrofit,residential,754.563.279.113
357,2030,R1,heatpump,A1,retrofit,residential,1.401.321.207.336
358,2055,R1,heatpump,A1,retrofit,residential,1.377.089.138.925
359,2025,R1,gasboiler,A1,retrofit,residential,208.186.727.106
360,2025,R1,windturbine,A1,retrofit,power,211.171.209.117
361,2045,R1,gassupply1,A1,retrofit,gas,17.970.437.040.598
362,2040,R1,heatpump,A1,retrofit,residential,853.928.695.006
363,2045,R1,gasboiler,A2,retrofit,residential,1.163.710.357.735
364,2030,R1,gasboiler,A1,retrofit,residential,646.997.050.075
365,2060,R1,windturbine,A1,retrofit,power,0
366,2040,R1,heatpump,A2,retrofit,residential,1.445.192.739.757
367,2025,R1,gasboiler,A2,retrofit,residential,66.642.081.896
368,2025,R1,gasboiler,A3,retrofit,residential,928.539.214.067
369,2025,R1,gasboiler,A3,retrofit,residential,66.642.081.896
370,2035,R1,gasboiler,A2,retrofit,residential,762.789.351.934
371,2040,R1,gasboiler,A3,retrofit,residential,512.212.727.718
372,2060,R1,gasCCGT,A1,retrofit,power,0
373,2055,R1,gasboiler,A1,retrofit,residential,1.195.525.130.511
374,2030,R1,gassupply2,A1,retrofit,gas,1.541.517.655.386
375,2030,R1,gasboiler,A1,retrofit,residential,646.997.050.075
376,2025,R1,gasCCGT,A1,retrofit,power,261.944.295.136
377,2045,R1,gasCCGT,A1,retrofit,power,0
378,2035,R1,heatpump,A3,retrofit,residential,1.131.792.295.634
379,2050,R1,heatpump,A2,retrofit,residential,1.034.644.729.189
380,2030,R1,gassupply1,A1,retrofit,gas,16.589.717.554.967
381,2030,R1,gassupply2,A1,retrofit,gas,44.080.442.423.086
382,2040,R1,windturbine,A1,retrofit,power,299.896.246.467
383,2040,R1,windturbine,A1,retrofit,power,443.165.082.407
384,2040,R1,heatpump,A3,retrofit,residential,1.158.701.909.945
385,2025,R1,gasboiler,A3,retrofit,residential,1.561.400.453.295
386,2030,R1,gassupply3,A1,retrofit,gas,33.225.938.913.847
387,2030,R1,windturbine,A1,retrofit,power,211.171.211.477
388,2035,R1,heatpump,A1,retrofit,residential,814.613.630.074
389,2060,R1,windturbine,A1,retrofit,power,0
390,2025,R1,gassupply2,A1,retrofit,gas,15.122.273.229.111
391,2060,R1,gassupply2,A1,retrofit,gas,34.381.923.303.924
392,2060,R1,gasboiler,A3,retrofit,residential,579.701.582.403
393,2045,R1,gasCCGT,A1,retrofit,power,0
394,2035,R1,heatpump,A2,retrofit,residential,1.478.897.703.481
395,2035,R1,heatpump,A1,retrofit,residential,1.181.895.624.365
396,2045,R1,gasboiler,A1,retrofit,residential,1.116.063.712.805
397,2045,R1,gassupply3,A1,retrofit,gas,9.151.426.200.421
398,2025,R1,heatpump,A3,retrofit,residential,523.748.721.811
