,year,region,technology,agent,category,sector,LCOE
420,2025,R1,gasboiler,A2,retrofit,residential,1.444.603.145.156
421,2030,R1,gasboiler,A1,retrofit,residential,1.600.898.501.079
422,2055,R1,gasCCGT,A1,retrofit,power,0
423,2045,R1,heatpump,A3,retrofit,residential,1.756.408.782.357
424,2050,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
425,2050,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
426,2055,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
427,2050,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
428,2050,R1,gasboiler,A1,retrofit,residential,1.414.219.386.713
429,2040,R1,gasboiler,A2,retrofit,residential,1.405.670.587.403
430,2045,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
431,2050,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
432,2040,R1,gasboiler,A2,retrofit,residential,1.405.670.587.403
433,2035,R1,gasCCGT,A1,retrofit,power,2.610.313.050.464
434,2045,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
435,2035,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
436,2030,R1,heatpump,A1,retrofit,residential,1.738.819.117.941
437,2045,R1,gasCCGT,A1,retrofit,power,0
438,2045,R1,gasboiler,A3,retrofit,residential,1.519.028.244.157
439,2060,R1,gasCCGT,A1,retrofit,power,0
440,2055,R1,gasboiler,A2,retrofit,residential,1.537.081.330.523
441,2030,R1,gasboiler,A3,retrofit,residential,220.960.614.695
442,2060,R1,gasboiler,A2,retrofit,residential,1.537.081.330.523
443,2025,R1,heatpump,A1,retrofit,residential,1.756.408.796.202
444,2025,R1,gasboiler,A2,retrofit,residential,1.558.014.080.786
445,2050,R1,heatpump,A2,retrofit,residential,173.881.911.765
446,2030,R1,gassupply1,A1,retrofit,gas,7.469.687.438.042
447,2025,R1,heatpump,A1,retrofit,residential,1.806.664.993.345
448,2045,R1,windturbine,A1,retrofit,power,0
449,2035,R1,gasboiler,A3,retrofit,residential,1.519.028.244.157
450,2040,R1,heatpump,A3,retrofit,residential,1.726.255.071.244
451,2035,R1,gasboiler,A1,retrofit,residential,1.519.028.244.157
452,2050,R1,windturbine,A1,retrofit,power,0
453,2055,R1,gasboiler,A1,retrofit,residential,1.414.219.386.713
454,2035,R1,gasboiler,A3,retrofit,residential,2.127.400.233.106
455,2055,R1,heatpump,A2,retrofit,residential,1.756.408.782.357
456,2055,R1,gasCCGT,A1,retrofit,power,0
457,2035,R1,heatpump,A1,retrofit,residential,173.881.911.765
458,2025,R1,heatpump,A1,retrofit,residential,1.738.819.127.255
459,2035,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
460,2030,R1,gassupply2,A1,retrofit,gas,13.377.801.352.961
461,2035,R1,gasboiler,A1,retrofit,residential,2.127.400.233.106
462,2050,R1,heatpump,A3,retrofit,residential,173.881.911.765
463,2055,R1,heatpump,A1,retrofit,residential,1.726.255.071.244
464,2035,R1,gasCCGT,A1,retrofit,power,2.447.117.113.586
465,2030,R1,gassupply2,A1,retrofit,gas,13.377.801.352.961
466,2040,R1,gasboiler,A1,retrofit,residential,1.519.028.244.157
467,2040,R1,gasboiler,A2,retrofit,residential,2.127.400.233.106
468,2045,R1,gasboiler,A3,retrofit,residential,2.127.400.233.106
469,2040,R1,heatpump,A2,retrofit,residential,173.881.911.765
470,2025,R1,gasboiler,A3,retrofit,residential,1.444.603.145.156
471,2025,R1,gassupply3,A1,retrofit,gas,1.927.480.746.575
472,2035,R1,windturbine,A1,retrofit,power,2.140.572.936.318
473,2025,R1,gasCCGT,A1,retrofit,power,3.541.621.150.368
474,2050,R1,gasboiler,A3,retrofit,residential,2.194.885.730.239
475,2060,R1,gasboiler,A1,retrofit,residential,1.537.081.330.523
476,2050,R1,gasboiler,A2,retrofit,residential,1.708.146.369.047
477,2025,R1,heatpump,A3,retrofit,residential,1.806.664.993.345
478,2060,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
479,2050,R1,gasCCGT,A1,retrofit,power,0
480,2055,R1,heatpump,A1,retrofit,residential,173.881.911.765
481,2055,R1,heatpump,A3,retrofit,residential,1.726.255.071.244
482,2040,R1,gasboiler,A3,retrofit,residential,1.405.670.587.403
483,2050,R1,heatpump,A1,retrofit,residential,173.881.911.765
484,2060,R1,heatpump,A3,retrofit,residential,173.881.911.765
485,2055,R1,gasboiler,A1,retrofit,residential,2.194.885.730.239
486,2040,R1,gasCCGT,A1,retrofit,power,2.610.313.050.464
487,2030,R1,gassupply2,A1,retrofit,gas,13.377.801.352.961
488,2030,R1,windturbine,A1,retrofit,power,2.140.572.936.318
489,2040,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
490,2050,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
491,2040,R1,windturbine,A1,retrofit,power,2.140.572.936.318
492,2045,R1,gasCCGT,A1,retrofit,power,0
493,2035,R1,gasCCGT,A1,retrofit,power,3.486.158.931.107
494,2045,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
495,2025,R1,gassupply1,A1,retrofit,gas,7.468.676.976.592
496,2025,R1,gasCCGT,A1,retrofit,power,2.502.272.520.006
497,2055,R1,gasboiler,A3,retrofit,residential,1.414.219.386.713
498,2045,R1,gasboiler,A2,retrofit,residential,1.519.028.244.157
499,2040,R1,heatpump,A3,retrofit,residential,1.806.664.967.319
