Unnamed: 0,year,region,installed,technology,agent,category,sector,fuel_consumption_costs
377,2035,R1,2025,gasboiler,A1,retrofit,residential,0
378,2035,R1,2025,gasboiler,A3,retrofit,residential,2.64E-09
379,2035,R1,2025,gasboiler,A3,retrofit,residential,0
380,2055,R1,2045,gasboiler,A2,newcapa,residential,0
381,2030,R1,2025,gasboiler,A2,retrofit,residential,16.353.061.852
382,2050,R1,2040,gasboiler,A3,newcapa,residential,0
383,2055,R1,2050,gasboiler,A1,newcapa,residential,0
384,2030,R1,2030,gasboiler,A3,newcapa,residential,0
385,2050,R1,2025,gasboiler,A2,newcapa,residential,0
386,2050,R1,2045,gasboiler,A3,retrofit,residential,0.847889842
387,2040,R1,2025,gasboiler,A3,retrofit,residential,8.80E-09
388,2045,R1,2025,windturbine,A1,newcapa,power,0
389,2050,R1,2050,gasboiler,A2,retrofit,residential,0
390,2045,R1,2045,gasboiler,A2,retrofit,residential,0
391,2030,R1,2030,heatpump,A1,newcapa,residential,0
392,2040,R1,2040,gasboiler,A3,retrofit,residential,0
393,2050,R1,2045,gasboiler,A1,newcapa,residential,0
394,2040,R1,2025,gasboiler,A2,retrofit,residential,0
395,2035,R1,2025,windturbine,A1,newcapa,power,0
396,2025,R1,2025,windturbine,A1,retrofit,power,0
397,2055,R1,2030,windturbine,A1,newcapa,power,0
398,2055,R1,2050,gasboiler,A3,retrofit,residential,0
399,2050,R1,2025,gasboiler,A1,newcapa,residential,0
400,2050,R1,2035,gasboiler,A2,newcapa,residential,0
401,2030,R1,2025,windturbine,A1,retrofit,power,0
402,2045,R1,2030,windturbine,A1,newcapa,power,0
403,2040,R1,2025,gasCCGT,A1,retrofit,power,6.19E-05
404,2060,R1,2055,gasboiler,A2,retrofit,residential,0.277559584
405,2050,R1,2040,gasboiler,A2,retrofit,residential,0
406,2050,R1,2030,windturbine,A1,retrofit,power,0
407,2060,R1,2050,gasboiler,A3,newcapa,residential,0
408,2055,R1,2050,gasboiler,A2,newcapa,residential,0
409,2035,R1,2035,gasboiler,A3,newcapa,residential,0
410,2040,R1,2025,windturbine,A1,retrofit,power,0
411,2040,R1,2040,gasboiler,A3,retrofit,residential,0
412,2040,R1,2025,windturbine,A1,retrofit,power,0
413,2030,R1,2025,windturbine,A1,retrofit,power,0
414,2060,R1,2050,gasboiler,A1,retrofit,residential,0
415,2055,R1,2025,gasCCGT,A1,retrofit,power,0
416,2060,R1,2025,gasboiler,A3,retrofit,residential,0
417,2040,R1,2030,heatpump,A1,retrofit,residential,0
418,2060,R1,2045,gasboiler,A3,newcapa,residential,0
419,2060,R1,2050,gasboiler,A2,newcapa,residential,0
420,2030,R1,2025,gasCCGT,A1,retrofit,power,3.17E-03
421,2050,R1,2040,gasboiler,A3,newcapa,residential,0
422,2055,R1,2040,gasboiler,A1,newcapa,residential,0
423,2055,R1,2040,gasboiler,A3,newcapa,residential,0
424,2050,R1,2040,gasboiler,A3,newcapa,residential,0
425,2055,R1,2025,windturbine,A1,newcapa,power,0
426,2025,R1,2025,heatpump,A1,retrofit,residential,0.172515331
427,2035,R1,2025,gasboiler,A1,retrofit,residential,3.53E-09
428,2060,R1,2050,gasboiler,A3,retrofit,residential,0
429,2035,R1,2035,gasboiler,A3,newcapa,residential,0
430,2050,R1,2035,gasboiler,A1,newcapa,residential,0
431,2055,R1,2045,gasboiler,A1,retrofit,residential,0
