,year,commodity,region,installed,technology,agent,category,sector,supply
222,2050,heat,R1,2025,gasboiler,A3,retrofit,residential,2.85E-09
223,2030,CO2f,R1,2025,gassupply1,A1,retrofit,gas,31.586.565.627
224,2060,gas,R1,2050,gassupply1,A1,retrofit,gas,2.7
225,2030,electricity,R1,2025,windturbine,A1,retrofit,power,0.044999991
226,2025,CO2f,R1,2025,gasCCGT,A1,retrofit,power,1.237.545
227,2060,gas,R1,2050,gassupply2,A1,retrofit,gas,0.525449955
228,2060,CO2f,R1,2050,gasboiler,A3,retrofit,residential,11.356.605
229,2060,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.84E-03
230,2060,CO2f,R1,2050,gasboiler,A1,retrofit,residential,2.271.321
231,2050,heat,R1,2025,gasboiler,A2,retrofit,residential,4.27E-09
232,2030,heat,R1,2025,gasboiler,A3,retrofit,residential,0.224499997
233,2035,heat,R1,2030,heatpump,A1,retrofit,residential,0.602
234,2055,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.77E-03
235,2035,CO2f,R1,2025,gasCCGT,A1,retrofit,power,5.42E-03
236,2035,CO2f,R1,2030,gassupply1,A1,retrofit,gas,26.232.038.306
237,2040,heat,R1,2025,gasboiler,A3,retrofit,residential,8.55E-09
238,2050,CO2f,R1,2045,gassupply1,A1,retrofit,gas,152.683.025.053
239,2040,electricity,R1,2025,gasCCGT,A1,retrofit,power,8.86E-09
240,2060,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.84E-03
241,2030,CO2f,R1,2025,gasboiler,A1,retrofit,residential,4.92E-04
242,2050,gas,R1,2040,gassupply1,A1,retrofit,gas,107.514.998.497
243,2035,gas,R1,2030,gassupply1,A1,retrofit,gas,0.571129995
244,2045,CO2f,R1,2035,gasboiler,A2,retrofit,residential,2.421.771.722.336
245,2055,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.77E-03
246,2060,CO2f,R1,2055,gasboiler,A1,retrofit,residential,7.105.157.926.231
247,2045,CO2f,R1,2040,gasboiler,A3,retrofit,residential,170.349.075
248,2040,heat,R1,2030,heatpump,A2,retrofit,residential,0.22575
249,2030,electricity,R1,2025,gasCCGT,A1,retrofit,power,1.35E-08
250,2045,heat,R1,2025,gasboiler,A3,retrofit,residential,8.55E-09
251,2045,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.77E-03
252,2025,CO2f,R1,2025,gasboiler,A1,retrofit,residential,1.721.286
253,2030,CO2f,R1,2025,gassupply1,A1,retrofit,gas,14.437.861.512
254,2040,CO2f,R1,2035,gasboiler,A1,retrofit,residential,3.229.028.963.115
255,2030,heat,R1,2025,gasboiler,A3,retrofit,residential,0.125500003
256,2055,CO2f,R1,2050,gasboiler,A2,retrofit,residential,2.271.321
257,2060,CO2f,R1,2050,gassupply1,A1,retrofit,gas,13.779.019.773
258,2060,CO2f,R1,2050,gasboiler,A2,retrofit,residential,11.356.605
259,2045,CO2f,R1,2035,gasboiler,A1,retrofit,residential,6.458.057.926.231
260,2040,CO2f,R1,2035,gasboiler,A1,retrofit,residential,215.268.597.541
261,2040,heat,R1,2035,gasboiler,A3,retrofit,residential,0.498999994
262,2060,CO2f,R1,2055,gasboiler,A2,retrofit,residential,1.776.289.481.558
263,2035,heat,R1,2030,heatpump,A1,retrofit,residential,0.301
264,2040,CO2f,R1,2030,gasboiler,A3,retrofit,residential,9.738.855
265,2060,CO2f,R1,2050,gasboiler,A1,retrofit,residential,3.028.428
266,2055,heat,R1,2025,gasboiler,A2,retrofit,residential,4.27E-09
267,2035,electricity,R1,2025,windturbine,A1,retrofit,power,0.044306066
268,2050,CO2f,R1,2025,gasboiler,A3,retrofit,residential,3.69E-03
269,2050,CO2f,R1,2045,gassupply1,A1,retrofit,gas,101.788.683.369
270,2055,CO2f,R1,2050,gassupply2,A1,retrofit,gas,160.796.462.951
271,2055,CO2f,R1,2050,gasboiler,A2,retrofit,residential,34.069.815
272,2035,gas,R1,2030,gassupply1,A1,retrofit,gas,0.571129995
273,2030,electricity,R1,2025,windturbine,A1,retrofit,power,0.0329
274,2040,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.46E-04
275,2025,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.103.075
276,2045,heat,R1,2025,gasboiler,A2,retrofit,residential,4.27E-09
277,2055,CO2f,R1,2050,gassupply1,A1,retrofit,gas,41.337.059.319
278,2050,CO2f,R1,2045,gasboiler,A3,retrofit,residential,1.776.289.481.558
279,2050,CO2f,R1,2040,gassupply1,A1,retrofit,gas,246.908.548.364
280,2055,CO2f,R1,2045,gasboiler,A1,retrofit,residential,3.552.578.963.115
281,2040,heat,R1,2025,gasboiler,A2,retrofit,residential,8.55E-09
