,year,commodity,region,installed,technology,agent,category,sector,consumption
148,2025,gas,R1,2024,gasboiler,A2,retrofit,residential,0.377
149,2030,gas,R1,2024,gasboiler,A3,retrofit,residential,0.43674001
150,2035,electricity,R1,2030,heatpump,A1,retrofit,residential,0.1204
151,2035,wind,R1,2024,windturbine,A1,retrofit,power,0.014396739
152,2030,electricity,R1,2024,heatpump,A1,retrofit,residential,0.066933333
153,2050,gas,R1,2040,gasboiler,A3,retrofit,residential,0.30537
154,2040,gas,R1,2035,gasboiler,A2,retrofit,residential,0.289419997
155,2035,gas,R1,2025,gasboiler,A2,retrofit,residential,0.390629995
156,2025,gas,R1,2024,gasboiler,A2,retrofit,residential,0.754
157,2040,wind,R1,2030,windturbine,A1,retrofit,power,0.096532544
158,2045,gas,R1,2040,gasboiler,A2,retrofit,residential,0.20358
159,2030,gas,R1,2025,gasboiler,A2,retrofit,residential,0.390629995
160,2055,gas,R1,2045,gasboiler,A2,retrofit,residential,0.477629995
161,2050,gas,R1,2040,gasboiler,A3,retrofit,residential,0.20358
162,2035,gas,R1,2024,gasCCGT,A1,retrofit,power,2.96E-08
163,2045,gas,R1,2040,gasboiler,A1,retrofit,residential,0.54288
164,2060,gas,R1,2055,gasboiler,A2,retrofit,residential,0.318419997
165,2040,gas,R1,2024,gasCCGT,A1,retrofit,power,1.97E-05
166,2040,gas,R1,2024,gasCCGT,A1,retrofit,power,1.48E-08
167,2030,gas,R1,2025,gasboiler,A3,retrofit,residential,0.260419997
168,2035,gas,R1,2025,gasboiler,A3,retrofit,residential,0.260419997
169,2030,wind,R1,2024,windturbine,A1,retrofit,power,0.043866667
170,2055,gas,R1,2050,gasboiler,A1,retrofit,residential,0.27144
171,2060,gas,R1,2050,gasboiler,A1,retrofit,residential,0.40716
172,2030,electricity,R1,2024,heatpump,A1,retrofit,residential,0.066933333
173,2040,gas,R1,2035,gasboiler,A3,retrofit,residential,0.289419997
174,2035,gas,R1,2025,gasboiler,A3,retrofit,residential,0.390629995
175,2050,gas,R1,2045,gasboiler,A1,retrofit,residential,0.424559996
176,2040,electricity,R1,2030,heatpump,A2,retrofit,residential,0.0903
177,2055,gas,R1,2024,gasboiler,A3,retrofit,residential,4.96E-09
178,2060,gas,R1,2055,gasboiler,A2,retrofit,residential,0.636839993
179,2035,gas,R1,2024,gasboiler,A2,retrofit,residential,4.96E-09
180,2030,gas,R1,2024,gasCCGT,A1,retrofit,power,4.51E-05
181,2045,gas,R1,2035,gasboiler,A2,retrofit,residential,0.86825999
182,2040,gas,R1,2024,gasboiler,A2,retrofit,residential,3.31E-09
183,2060,gas,R1,2050,gasboiler,A2,retrofit,residential,0.30537
184,2050,gas,R1,2024,gasboiler,A2,retrofit,residential,9.92E-09
185,2040,electricity,R1,2030,heatpump,A1,retrofit,residential,0.080266667
186,2060,gas,R1,2050,gasboiler,A1,retrofit,residential,0.81432
187,2030,electricity,R1,2024,heatpump,A1,retrofit,residential,0.133866667
188,2040,electricity,R1,2030,heatpump,A2,retrofit,residential,0.0903
189,2030,gas,R1,2024,gasCCGT,A1,retrofit,power,2.26E-05
190,2060,gas,R1,2050,gasboiler,A2,retrofit,residential,0.20358
191,2030,gas,R1,2025,gasboiler,A3,retrofit,residential,0.78125999
192,2030,gas,R1,2025,gasboiler,A1,retrofit,residential,0.694453325
193,2030,gas,R1,2024,gasboiler,A3,retrofit,residential,0.145580003
194,2030,gas,R1,2025,gasboiler,A2,retrofit,residential,0.520839993
195,2035,gas,R1,2024,gasboiler,A3,retrofit,residential,3.31E-09
196,2050,gas,R1,2045,gasboiler,A3,retrofit,residential,0.477629995
197,2035,gas,R1,2030,gasboiler,A3,retrofit,residential,0.17458
198,2040,gas,R1,2035,gasboiler,A3,retrofit,residential,0.289419997
199,2055,gas,R1,2045,gasboiler,A2,retrofit,residential,0.636839993
200,2050,gas,R1,2045,gasboiler,A3,retrofit,residential,0.477629995
201,2040,electricity,R1,2030,heatpump,A2,retrofit,residential,0.1204
202,2050,gas,R1,2040,gasboiler,A2,retrofit,residential,0.61074
203,2030,gas,R1,2024,gasboiler,A2,retrofit,residential,0.145580003
204,2045,gas,R1,2040,gasboiler,A3,retrofit,residential,0.61074
205,2050,gas,R1,2040,gasboiler,A3,retrofit,residential,0.40716
206,2045,gas,R1,2024,gasboiler,A1,retrofit,residential,1.32E-05
207,2045,gas,R1,2035,gasboiler,A3,retrofit,residential,0.434129995
208,2045,gas,R1,2040,gasboiler,A1,retrofit,residential,0.40716
209,2050,gas,R1,2045,gasboiler,A2,retrofit,residential,0.636839993
210,2045,gas,R1,2040,gasboiler,A1,retrofit,residential,0.40716
211,2030,gas,R1,2024,gasboiler,A2,retrofit,residential,0.218370005
212,2035,wind,R1,2024,windturbine,A1,retrofit,power,0.021595109
213,2055,gas,R1,2045,gasboiler,A2,retrofit,residential,0.318419997
214,2055,gas,R1,2045,gasboiler,A1,retrofit,residential,0.636839993
215,2035,gas,R1,2025,gasboiler,A1,retrofit,residential,0.694453325
216,2060,gas,R1,2024,gasboiler,A3,retrofit,residential,3.31E-09
217,2030,wind,R1,2024,windturbine,A1,retrofit,power,0.021933333
218,2035,gas,R1,2030,gasboiler,A3,retrofit,residential,0.34916
219,2030,wind,R1,2025,windturbine,A1,retrofit,power,0.067499987
220,2035,gas,R1,2030,gasboiler,A3,retrofit,residential,0.52374
221,2055,gas,R1,2024,gasboiler,A2,retrofit,residential,4.96E-09
222,2035,wind,R1,2025,windturbine,A1,retrofit,power,0.088612132
223,2045,gas,R1,2040,gasboiler,A2,retrofit,residential,0.30537
224,2040,gas,R1,2030,gasboiler,A3,retrofit,residential,0.34916
225,2035,gas,R1,2024,gasboiler,A2,retrofit,residential,4.96E-09
226,2055,gas,R1,2024,gasboiler,A1,retrofit,residential,4.41E-09
227,2025,gas,R1,2024,gasCCGT,A1,retrofit,power,0.07515
228,2040,gas,R1,2030,gasboiler,A3,retrofit,residential,0.26187
229,2035,wind,R1,2025,windturbine,A1,retrofit,power,0.029537377
230,2050,gas,R1,2045,gasboiler,A3,retrofit,residential,0.318419997
231,2035,gas,R1,2024,gasboiler,A3,retrofit,residential,9.92E-09
232,2055,gas,R1,2024,gasboiler,A3,retrofit,residential,9.92E-09
233,2030,gas,R1,2024,gasboiler,A2,retrofit,residential,0.43674001
234,2060,gas,R1,2055,gasboiler,A1,retrofit,residential,127.367.998.678
